incubation_day,days,simple_sentence,compound_sentence,paper_title,sha,publish_time,journal,url
7.0,"[('7 days', '')]",we estimated that the length of isolation in the high risk population will decrease from two weeks to an average of 7 days which is within the range of the average incubation period (6) (7) (8) .,we estimated that the length of isolation in the high risk population will decrease from two weeks to an average of 7 days which is within the range of the average incubation period (6) (7) (8) .,Global versus focused isolation during the SARS-CoV-2 pandemic- A cost-effectiveness analysis,08a40e31fde744729050ab037f80aa67c7d1053f,2020-04-01,,
55.0,"[('55 days', '')]",the longest incubation period was 55 days.,the longest incubation period was 55 days.,"Clinical features and outcomes of 197 adult discharged patients with COIVD-19 in Yichang, Hubei",0c85befc7b4ab7e702e8fbadd9e07f6dbd870559,2020-03-30,,
10.0,"[('10 days', '')]",the incubation period of our cases was in a range of 2-10 days,"consistent to previous reports, the incubation period of our cases was in a range of 2-10 days, with a median of 6.5 days [12] [13] [14] .","Prevalence and clinical features of 2019 novel coronavirus disease (COVID-19) in the Fever Clinic of a teaching hospital in Beijing: a single-center, retrospective study",0eee9760aee0ca2fdf8d1d215c3689d5f8d84df5,2020-02-27,,
11.1,"[('11.1 days', '.1')]",the incubation period ranges from 2.1 to 11.1 days (2.5 th to 97.5 th percentile) (tab.,the incubation period ranges from 2.1 to 11.1 days (2.5 th to 97.5 th percentile) (tab.,"Title: The incubation period of 2019-nCoV infections among travellers from Wuhan, China",12fac9aedb1a09a3922a3c084ce4723708e463d6,2020-01-28,,
11.1,"[('6.4 days', '.4'), ('11.1 days', '.1')]",the sars-cov2 is transmitted human to human among close contacts (within about 6 feet) [1] and has mean incubation period of 6.4 days with range of 2.1 to 11.1 days [2] .,the sars-cov2 is transmitted human to human among close contacts (within about 6 feet) [1] and has mean incubation period of 6.4 days with range of 2.1 to 11.1 days [2] .,Current State and Predicting Future Scenario of Highly Infected Nations for COVID-19 Pandemic,14083b334f48819d6a42a2ed917adfa200c59df4,2020-03-31,,https://doi.org/10.1101/2020.03.28.20046235
23.0,"[('23 days', '')]",the incubation period of individual cases ranged from 0 to 23 days (table 2) ,"the incubation period of individual cases ranged from 0 to 23 days (table 2) , with a median of 7 days and 6.64% (n=39) of them longer than 14 days.",Epidemiological parameters of coronavirus disease 2019: a pooled analysis of publicly reported individual data of 1155 cases from seven countries Summary Background,1f80f32ab88715153f9690b096115e53f2fd6121,2020-03-24,,
14.0,"[('14 days', '')]",9 the range of the incubation period for 2019-ncov is estimated to be 2-14 days,"9 the range of the incubation period for 2019-ncov is estimated to be 2-14 days, or even as long as 24 days.",Human Mobility Restrictions and the Spread of the Novel Coronavirus (2019-nCoV) in China †,229fae391499a24af01bc6b50204afe09c050f8c,2020-03-26,,
32.0,"[('32 days', '')]",ranged from 1 to 32 days; 8 patients got more longer incubation duration (18,"the median incubation duration was 6 days, ranged from 1 to 32 days; 8 patients got more longer incubation duration (18, 19, 20, 21, 23, 24 , 24 and 32 days) that more than 14 days.","Transmission and clinical characteristics of coronavirus disease 2019 in 104 outside-Wuhan patients, China",3afd5fba7dc182ddfa769c0d766134b525581005,2020-03-06,,
8.0,"[('8 days', ''), ('8 days', ''), ('5 days', '')]",an influenza outbreak can be declared over if no new cases occur within 8 days following the onset of symptoms in the last resident case (8 days is the sum of the usual infectious period [5 days] plus maximum incubation period [3days]).,"generally, an influenza outbreak can be declared over if no new cases occur within 8 days following the onset of symptoms in the last resident case (8 days is the sum of the usual infectious period [5 days] plus maximum incubation period [3days]).",Guidelines for preventing respiratory illness in older adults aged 60 years and above living in long-term care A rapid review of clinical practice guidelines,5a0089eb2fc6fc7eabc5f98b7216e1568967b7c7,2020-03-26,,https://doi.org/10.1101/2020.03.19.20039180
10.0,"[('10 days', '')]",the average incubation period of 2019-ncov is up to 10 days.,"according to [43] , the average incubation period of 2019-ncov is up to 10 days.",How does the outbreak of 2019-nCoV spread in mainland China? A retrospective analysis of the dynamic transmission routes *,5f72fd41d7ba8d4d7de7aa1f83fc5c90ffa50b03,2020-03-06,,
