incubation_day,days,simple_sentence,compound_sentence,paper_title,sha,publish_time,journal,url
7.0,"[(' 7 days', '')]",we estimated that the length of isolation in the high risk population will decrease from two weeks to an average of 7 days which is within the range of the average incubation period (6) (7) (8) .,we estimated that the length of isolation in the high risk population will decrease from two weeks to an average of 7 days which is within the range of the average incubation period (6) (7) (8) .,Global versus focused isolation during the SARS-CoV-2 pandemic- A cost-effectiveness analysis,08a40e31fde744729050ab037f80aa67c7d1053f,2020-04-01,,https://doi.org/10.1101/2020.03.30.20047860
7.4,"[(' 7.4 days', '.4')]",the 483 confirmed patients were with average estimated incubation periodτ d = 7.4 days,"specifically, the 483 confirmed patients were with average estimated incubation periodτ d = 7.4 days, the mode was 4 days (50 out of the 483 cases) and the median was 7 days (48 out of the 483 cases).","Epidemiological characteristics of 1212 COVID-19 patients in Henan, China. medRxiv",091a8e9a61e19e88caeb039f0e3888d111b20439,2020-02-23,,https://doi.org/10.1101/2020.02.21.20026112
5.0,"[(' 5 day', ''), (' 5 day', '')]",comprising a mean about 5 day incubation period and a mean 5 day delay from symptom onset to detection of a case (imai et al,"according to the recent report, there is a mean 10-day delay between infection and detection, comprising a mean about 5 day incubation period and a mean 5 day delay from symptom onset to detection of a case (imai et al, 2020; yang et al, 2020; li et al, 2020) .",A simple model to assess Wuhan lock-down effect and region efforts during COVID-19 epidemic in China Mainland,0bd443591b5e10934beef050b516afeca6b668fe,2020-03-03,,https://doi.org/10.1101/2020.02.29.20029561
4.9,"[(' 4.9 days', '.9')]",we estimated that the mean incubation period was 4.9 days (95% credible interval [cri] 2.7-8.4),"we estimated that the mean incubation period was 4.9 days (95% credible interval [cri] 2.7-8.4), and the mean serial interval was 7.0 days (95% cri 3.7-13.2).",High transmissibility of COVID-19 near symptom onset,112e05c31018c816d0bd9ee64336eba79ee786ac,2020-03-19,,https://doi.org/10.1101/2020.03.18.20034561
5.0,"[(' 5 days', '')]",early estimates suggest an incubation time of about 5 days and an average serial interval of 7-8 days (wu et al.,"early estimates suggest an incubation time of about 5 days and an average serial interval of 7-8 days (wu et al., 2020) .",Potential impact of seasonal forcing on a SARS-CoV-2 pandemic,1218f278a4f8d83dac14b23c8f698062812ef9d5,2020-02-17,,https://doi.org/10.1101/2020.02.13.20022806
6.4,"[(' 6.4 days', '.4'), (' 11.1 days', '.1')]",the sars-cov2 is transmitted human to human among close contacts (within about 6 feet) [1] and has mean incubation period of 6.4 days with range of 2.1 to 11.1 days [2] .,the sars-cov2 is transmitted human to human among close contacts (within about 6 feet) [1] and has mean incubation period of 6.4 days with range of 2.1 to 11.1 days [2] .,Current State and Predicting Future Scenario of Highly Infected Nations for COVID-19 Pandemic,14083b334f48819d6a42a2ed917adfa200c59df4,2020-03-31,,https://doi.org/10.1101/2020.03.28.20046235
5.2,"[(' 5.2 days', '.2')]",the incubation period (the time between initial exposure and development of symptoms) is approximately 5.2 days on average [16,"the incubation period (the time between initial exposure and development of symptoms) is approximately 5.2 days on average [16, 19] , and the infectious period (the time from onset of symptoms to isolation) is approximately 3 days on average [20, 21] .",A Computational Model for Estimating the Progression of COVID-19 Cases in the US West and East Coasts,1ef4b7e4a7fad1570e093426bb5aec602b0ae237,2020-03-27,,https://doi.org/10.1101/2020.03.24.20043026
7.44,"[(' 7.44 days', '.44'), (' 4.39 days', '.39')]",the mean and standard deviation were 7.44 days and 4.39 days for incubation period,"the mean and standard deviation were 7.44 days and 4.39 days for incubation period, 2.52 days and 3.95 days for the upper limit of latent period, 6 .70 days and 5.20 days for serial interval, and -0.19 day (i.e., 0.19 day before infector's symptom onset) and 3.32 days for time point of exposure.",Epidemiological parameters of coronavirus disease 2019: a pooled analysis of publicly reported individual data of 1155 cases from seven countries Summary Background,1f80f32ab88715153f9690b096115e53f2fd6121,2020-03-24,,https://doi.org/10.1101/2020.03.21.20040329
9.5,"[(' 9.5 days', '.5')]",we conducted sensitivity analyses to examine how varying the mean incubation period between 5.5 and 9.5 days affects our estimates of the true asymptomatic proportion.,we conducted sensitivity analyses to examine how varying the mean incubation period between 5.5 and 9.5 days affects our estimates of the true asymptomatic proportion.,"Estimating the Asymptomatic Proportion of 2019 Novel Coronavirus onboard the Princess Cruises Ship, 2020",207dcb6e3cd43cdea91d29a15be1ee34068bd54e,2020-02-23,,https://doi.org/10.1101/2020.02.20.20025866
8.42,"[(' 8.42 days', '.42')]",6 we revealed that the mean incubation of sars-cov-2 infection was 8.42 days.,"
as sars-cov-2 shares its receptor with sars-cov, 6 we revealed that the mean incubation of sars-cov-2 infection was 8.42 days.","Epidemiological and clinical features of COVID-19 patients with and without pneumonia in Beijing, China",24e17488d399c436305c819953beae2961214771,2020-03-03,,https://doi.org/10.1101/2020.02.28.20028068
5.2,"[(' 5.2 days', '.2')]",the mean incubation period of 2019-ncov is 5.2 days,"according to a recent study using the first 425 patients 1 , the mean incubation period of 2019-ncov is 5.2 days, and the mean duration from illness onset to hospital admission is 9.1 days.",Spatially Explicit Modeling of 2019-nCoV Epidemic Trend Based on Mobile Phone Data in Mainland China,2913d91f13fd59c698f68ba63008d8e0550c0607,2020-02-11,,https://doi.org/10.1101/2020.02.09.20021360
